dialogue,type,call,link,channel,labels
"Suspect: Yeah, so are you hearing me?

Innocent: Who is this?

Suspect: Yeah, it's Mr. Asleepy from the Publishers Clearing House. Did you get my prize with the big check?

Innocent: Right, that's what I was asking about. How are you doing? I tried to call you.

Suspect: I can hear you now. Are you hearing me better now?

Innocent: Yes.

Suspect: All right, so what we're going to be doing today is getting you a certified cashier's check. We're going to write it out to the CPA, right?

Innocent: No, I didn't hear anything about a certified... what? I went to the doctor this morning and they said it looks like I have necrotizing fasciitis and I might need my phalanges to be removed.

Suspect: Oh my word. Can you still operate your hand?

Innocent: Oh yeah, I'm scheduled for surgery on the 29nd of February. That's when they're gonna remove my phalanges, so I've got some time.

Suspect: Okay, so what we're going to do today, my friend, is get you a certified cashier's check sent to the CPA so you can receive your prize on Monday, okay?

Innocent: Yes. You said I needed to give you the Spartan, the vanilla-smelling one card, right? I was able to chip off more of the cardboard. It was a lot of blood and a lot of hard work, but I was able to get more of the card numbers for you. Do you have 84718542889? Did you get that much? I was able to see another nine.

Suspect: Oh, so you did get all the cardboards off the...

Innocent: No, I'm still working on chipping away the rest of it. I was able to clear out a nine, though. I can see a nine now.

Suspect: Okay, put the card down. We're going to focus on something else today. We're going to focus on the certified check to be sent to the CPA so you can receive your prize. That's what we're working on today.

Innocent: Pardon? Sending a what?

Suspect: The certified check. Remember, you're getting a certified check for $25,000 sent to a CPA. So, what you're going to do is tell me when you're dressed and ready to go on the road.

Innocent: Oh, all right.

Suspect: All right, tell me when you're ready, because we're going to have everything done for you today.

Innocent: All right, I just have to put my mumu on and my galoshes.",reward,incoming,PCH Scammer Wants $20000 For Decoration Stamp?! Part 4 (youtube.com),Scammer Jammer,1
"Suspect: Thank you for calling. How may I help you?

Innocent: Yes, my call was transferred. They said I won a $100 Walmart gift card.

Suspect: Okay, don't worry. I can definitely help you with that. Just be on the line so I can pull up the information. Your number is qualified to receive a $100 Walmart gift card. You can not only use it at Walmart but also at Target, Home Depot, Best Buy, and other retail stores. This is a $100 card. You can go anywhere and buy anything. You don't have to pay any money over the counter. You just have to show them this $100 gift card, and the amount will be automatically deducted from your gift card.

Innocent: Yes, it's a $100 Walmart gift card. It's supposed to be just for Walmart, right?

Suspect: Right, it can be used at Walmart, but you can also use it at Target, Home Depot, Best Buy, and other retail stores. So, you can use it at Walmart and other places too.

Innocent: Yes, that's fine. I was just concerned it's going to say Walmart on it, so if I go to Target, they may look at me like I'm kind of crazy.

Suspect: Oh no, you can use it at Target, Walmart, Best Buy, or anywhere in any retail store. This $100 gift card can be used anywhere.

Innocent: Okay.

Suspect: So, sir, what we can do is send this gift card out to you now within four to five business days at your mailing address. Are you from the state of Vermont?

Innocent: No, that's where my cell phone is from. Suspect: Could you please help me with your real mailing address, starting with your house number?

Innocent: Yes, it's 2008 Wood Lot Lane, Brownsville, Texas, 78526.

Suspect: It's Wood Lot Lane, Brownsville, Texas, right?

Innocent: Yes.

Suspect: Okay, just a second. I got it. It's 2008 Wood Lot Lane, Brownsville, Texas, 78526, right?

Innocent: Yes.

Suspect: So this gift card will be in your name so nobody can misuse your gift card. Could you please spell out your first and last name?

Innocent: Yes, my first name is Bill. B-I-L-L.

Suspect: And your last name?

Innocent: Jones. J-O-N-E-S.",reward,outgoing,Walmart Gift Card Scam (youtube.com),scambait tv,1
"Innocent: Yeah, this is James Smith.

Suspect: How can I help you today?

Innocent: It's James Smith. You called me. Suspect: What was the phone call about that you have received from our department Innocent: my social security.

Suspect: All right, did you receive any kind of case ID or reference ID number from our department regarding this phone call?

Innocent: Well, I am 87 years old and I couldn't make it out. I'm hard of hearing. Is this about my money that my wife left me? Because I paid taxes on all that money when she died.

Suspect: All right. As I can see in my system, the reason you are contacted today was to inform you regarding some legal enforcement action. All right, so what I'm saying to you, your name has been registered for criminal activities. Do you have any knowledge about it, Mr. James Smith?

Innocent: No, not guilty. What kind of criminal activity? I didn't do nothing. I'm 87 years old.

Suspect: All right, I will give you all the information. This is Officer Eric Roger. My badge ID number is 321512. All right, so before I go ahead and give you some more information, I just need to verify your social security number once. All right, so I can give you the correct information which you are supposed to get from our department. All right?

Innocent: What do you want?

Suspect: Hello, verify me with your social security number. All right, Mr. James, just hold the line for a quick moment. Let me pull up your case file and let you know. Right. Hello there. Innocent: yes. Suspect: Do you have a piece of paper and pen handy with you so I can provide you my information too?

Innocent: I can get one.

Suspect: All right, once you're ready with the pen and paper, you let me know. All right, I'm holding for you.

Innocent: All right, I'm ready.

Suspect: All right, you write down my name, Officer Eric Roger. E-R-I-C. My first name is Eric, and my last name is Roger. R-O-G-E-R.

Innocent: Uh-huh.

Suspect: All right, my badge ID number is 321512.

Innocent: What'd you say?

Suspect: You got it? My badge ID number is 321512.

Innocent: And you said your name was Eric?

Suspect: Yes.",ssn,outgoing,Getting Social Security Scammers Angry (youtube.com),Scammer Jammer,1
"Suspect: You have reached the security administration. How may I help you?

Innocent: Ah yes, how are you doing today?

Suspect: Yes, I am fine. Thank you for asking, ma'am. How are you doing today?

Innocent: Uh, I could be better. I got a phone call from you all a little bit ago, and I'm trying to figure out what this is about.

Suspect: All right, ma'am. So, did you receive any case ID number?

Innocent: No, no, they just said to give a call back, so I'm calling right now.

Suspect: All right, all right. So, can you help me with your name and your social security number so I can check in my system why you are receiving a call from our department, ma'am? Can you help me with that?

Innocent: Yes, my name is Susie Erickins.

Suspect: And what's your social security number?

Innocent: The last four are 9712.

Suspect: Ma'am, did I ask you for your last four digits? I asked you to verify your full social security number.

Innocent: Well, I heard on the news that I shouldn't be giving my social security number out; only the last four that people need.

Suspect: No, ma'am. I can't help you without the full number. Thank you, have a nice day.

Innocent: So, then everything's okay?

Suspect: No, ma'am. You are under investigation in Seattle. There are legal enforcement actions against your name and your social security number. We have an order to suspend your social on an immediate basis because your social has been found suspicious for committing some fraudulent activities in Seattle. I am not blaming you, miss. My duty is to inform you about your case.

Innocent: All right, so did you receive my last name? It's Derkins.

Suspect: All right, so Miss Derkins, did you receive any phone calls from your local police department regarding this case? Miss Derkins, I am not blaming you. My duty is to inform you about your case. Now, grab a pen and a piece of paper so I can provide you with some primary information about this case which you can write down. Once you're ready with the pen and paper, just let me know, ma'am. I am holding the line here.

Innocent: Yeah, hold on. Let me go grab a sheet of paper and a pen real quick.

Suspect: My name is Officer Robert Wilson. My first name is Robert, and my last name is Wilson. All right, so first of all, write down your case ID number. Ma'am, here I see there are 22 bank accounts under your name and 13 credit cards. Do you hold 22 bank accounts and 13 credit cards under your name?

Innocent: One or two bank accounts? God, no! I only have one.

Suspect: All right, all right. So, ma'am, first of all, let me pull out your asset verification form in order to differentiate which is your account and which is bogus. We will freeze all the bogus accounts under your name and social security number. I just need to ask you some basic information. I will not ask for any personal information like your bank account number, routing number, or credit card number. I just need some basic information to differentiate which is your account and which is bogus. Am I clear?

Innocent: Yes, that makes sense, but who did all this? Do you know?

Suspect: Ma'am, at this point in time, we don't know who the real suspect behind this case is. It could be anyone near you because someone has access to your personal information.

Innocent: I don't even know anybody in Seattle. ",ssn,outgoing,SSA Scammer Wants To Take $10000 From Grandma (youtube.com),Scammer Jammer,1
"Suspect: Thank you for calling the Social Security Administration. How can I help you?

Innocent: Yeah, I was talking to a guy, and he said my social security number was suspended. Then, you must have had a bad phone connection, my phone cut out.

Suspect: Oh, apologies. Let me just check what exactly is going on. Could you please help with your first name to pull up your details?

Innocent: Yeah, it's James Friedrich.

Suspect: Thank you, James. Just allow me to try to get into the system and check the details for you. Bear with me.

Suspect: Hi, James. Thank you for staying on the line. Are you there with me?

Innocent: Yes.

Suspect: I have got some details for you. Do you have a pen and piece of paper handy with you?

Innocent: Yes.

Suspect: Yeah, could you please make a note of a few details I'm going to give you right now?

Innocent: Yes.

Suspect: So, you're talking to Officer Donald Jefferson in charge of your case.

Innocent: Your phone broke up. What did you say? Officer who?

Suspect: Yeah, this is Chief Officer Donald Jefferson. I'm in charge of the investigation department here at Social Security Administration. Can you hear me?

Innocent: Yes, I'm listening.

Suspect: All right, I thought I lost you. Okay, so please make a note of my federal ID.

Innocent: Uh-huh.

Suspect: G as in General, R as in Romeo, S as in Sierra, A as in Alpha, and the number 51185. That's my federal badge ID. The case file number I'm going to give you is F as in Frank, R as in Romeo, L as in Larry.

Innocent: Now, your phone broke up again. It must be the lines crossed or something. Can you say that one more time?

Suspect: Sure. The case file number is F as in Frank, R as in Romeo, L as in Larry, R as in Romeo, and the number 6374.

Innocent: Uh-huh.

Suspect: It's a case file showing up under your name, James Friedrich. What has happened is our U.S. Marshals patrolling the south border of Texas found an abandoned car registered under your socials. That car contained bloodstains and some drug residues in it. Have you happened to travel to the state of Texas by any chance?

Innocent: No, I've never been there.

Suspect: That's quite surprising because that car was registered under your name and your socials. So, I believe there are some suspicious activities going on. That is why we, as a team of the investigation department, opened up a case file and thought of informing you about this. That's the reason we're calling you because immediately we're going to go ahead and suspend your social security number.

Innocent: Your phone broke up again. How many accounts did you say?

Suspect: There were like 50 bank accounts opened up under your name.",ssn,outgoing,Calling Out Social Security Scammers After They Think They Are Getting Money (youtube.com),Scammer Jammer,1
"Suspect: Thank you for calling the Social Security Administration. How may I help you today?

Innocent: How you doing? I got a phone call from you all a little bit ago.

Suspect: Yeah, can you tell me what was that call about?

Innocent: Uh, it said that I had to call back because there was something wrong with my social security number.

Suspect: I understand. My department is calling you. Did you receive a case number from our department?

Innocent: Uh, no, I just got a phone number to call you back.

Suspect: All right, miss. You did not receive a case number, so can you help me out with your name and address so I can pull up your case file from my system and explain why your social number was suspended?

Innocent: Yes, my name is Susie.

Suspect: Miss, could you spell out your first and last name?

Innocent: Yes, it's S-U-S-I-E, and my last name is Derkins, D-E-R-K-I-N-S.

Suspect: All right, miss, and your address is?

Innocent: It's 5007 Apartment 4B, Fiddler Avenue, Lakewood, California.

Suspect: Lakewood, California. And your zip code is?

Innocent: 90712.

Suspect: All right, miss. Could you repeat your address again?

Innocent: Yes, it's 5007 Apartment 4B, Fiddler Avenue, Lakewood, California.",ssn,outgoing,Granny Is Giving The SSA Scammers A Hard Time (youtube.com),Scammer Jammer,1
"Suspect: Publisher in Clearing House here, you're speaking to John Anderson. How can I assist you?

Innocent: Oh, I didn't hear. I didn't catch that. What did you say? Your phone broke up.

Suspect: I'm saying to you, my name is John Anderson, and you're calling the Publisher Clearing House. How can I assist you, sir?

Innocent: Well, I'm calling because I won.

Suspect: Okay, and can you state to me your first and last name along with the claiming code number?

Innocent: Yes, it's David Smith. Suspect: And you have a claim code number, right?

Innocent: Well, I was going to tell you all, when you leave the voicemail, like, there's something wrong with it. It doesn't say the thing. It's all garbage.

Suspect: Okay, Mr. Simmons, that is not a problem. Can you kind of get yourself a clean sheet of paper and I can provide you with some information? When you have the pen and the paper, you just let me know. First thing you're going to write down is my name. Do you remember my name?

Innocent: No, you didn't tell me your name.

Suspect: David Anderson.

Innocent: All right, David Anderson.

Suspect: Yes, you're going to have my badge code number. My badge code number is 8431.

Innocent: All right. And what's this ID thing that you kept saying the time that I couldn't hear on my voicemail?

Suspect: What are you talking about?

Innocent: You asked for the ID code. What's the ID code? I couldn't hear it on my voicemail.

Suspect: I'm saying the code. I'm asking you about a code. Innocent: Yes, what is it? Tell me what it is because I couldn't hear it on the voicemail.

Suspect: It's your serial code check number.

Innocent: Okay, what is that?

Suspect: 314838.

Innocent: All right, so if I called and they ask me for my ID code, that's my winner number. I give that code back?

Suspect: Yes, yes. So, not a problem. I'm going to provide you with some winner information. Okay?

Innocent: All right.

Suspect: You have my name down, and you have my badge code number because remember, I'm your agent.

Innocent: All right.

Suspect: And we're not going to leave the phone line until you receive. So, this is an online delivery, okay, Mr. Smith?

Innocent: All right.

Suspect: And are you home at this time or are you at work?

Innocent: I'm home. I'm retired.

Suspect: Oh, you're retired?

Innocent: Yes.

Suspect: And can you drive?

Innocent: Yes, I still drive. After my wife Gertrude passed away, I live on the insurance money. She had a good insurance policy of $1.5 million. But if I won even more, I mean, I could take that and use it for charity.

Suspect: Okay, not a problem, Mr. Smith. And you have a car for yourself, right?

Innocent: Yes.

Suspect: Okay, not a problem. So you're going to write the name of this company down, Publisher Clearing House, and write down what you have won also.

Innocent: All right, hold on a minute. Publisher Clearing House.

Suspect: And you're going to write down today's date and time you have received this phone call.",reward,outgoing,Scammer KAREN Gets Very ANGRY At Old Man (youtube.com),Scammer Jammer,1
"Suspect: Hello, can you hear me much better?

Innocent: Oh, much better. Who is this?

Suspect: This is John Miller with the Publisher. You get a publish.

Innocent: Yes. Suspect: and when did you receive that phone call? Innocent: I'm so excited that I won. What happens now?

Suspect: Hello? Yes, David Miller with Publisher Clearing House. Let me take your call.

Innocent: Oh yes, it's Samantha. I won in the Publishers Clearing House. I'm calling to make arrangements.

Suspect: Did you receive a claim number? Check your voicemail.

Innocent: When you check your voicemail, you need to tell Ed McMahon or whoever's in charge to make it clearer on the voicemail. Or maybe it was my phone; it just didn't come through clearly.

Suspect: That's probably your service, that's your reception, dear.

Innocent: Okay, all right. Well, what do I do now? What happens next? I don't know how it works.

Suspect: I'm going to need your name so I can pull up your file.

Innocent: Okay, it's Dy, D-Y.

Suspect: Okay, well, Ms. Dy, I see here in the system where you have been the VIP winner here at Publishers Clearing House for $2.8 million and the Mercedes-Benz car.

Innocent: I'm so excited.

Suspect: Hello? I said you are a winner here at Publishers Clearing House for $2.8 million and the Mercedes-Benz car.

Innocent: I'm so excited. You know, Publishers Clearing House impersonation thieves just got 20 years in jail. Is 20 years good enough for you to stop stealing from innocent victims? Is 20 years behind bars good enough for you?

Suspect: No, you need longer than that.

Innocent: Yes, how do you live with yourself, not working or being anything in life other than a horrible thief that steals elderly people's hard-earned savings? How do you live with yourself as a human being?

Suspect: Can I ask you a question?

Innocent: Yes.

Suspect: How much would you pay to get out of here in Africa? If I called you and asked you to send me some money, if I begged you for some money, would you give it to me? No.

Suspect: Well, no. Nobody gives anybody any money.",reward,outgoing,CONFRONTING A Scammer About Scamming (youtube.com),Scammer Jammer,1
"Suspect: Uh, can you please confirm for me exactly what the problem is so that I can help you out accordingly?

Innocent: Oh, yes. I just got this code to get started with Prime, register your compatible device, and it's not working. I called this number, and my husband and I have finally decided to cut the cord, but I'm not sure if I'm doing it right.

Suspect: All right, no problem, ma'am. I will help you. Just tell me one thing, ma'am, first of all, do you know what the make of your TV is? The brand of your TV?

Innocent: It's a Samsung TV.

Suspect: All right, ma'am. And just give me a moment. And, um, like how old is this account that you have right now?

Innocent: Uh, between like a month and four years old, something like that.

Suspect: Four years, you said?

Innocent: Yeah, something like that.

Suspect: Yes, so as I can see, ma'am, it's expired, and you've been using this account for more than five years, so we need to go ahead and register you again as well as update your account, ma'am. All right?

Innocent: All right.

Suspect: So in this scenario, you will be able to watch your Amazon Prime on your TV. Otherwise, if we just go with this yearly plan, you can watch Amazon Prime on your phone or on your Kindle. But if we upgrade it to a three-year, five-year, or lifetime plan, we will verify your device, your code to your Amazon account, and then we will verify your device to your Amazon account. After that, we will help you to subscribe to the plan. The other thing is, if you get a new computer or a new TV or if you want to connect it to your Amazon Prime in the future, we will do it as well because you can connect any number of devices. There are no limitations on these updated plans. You can add any device you want, ma'am. If you want to pay for three years, it's $469.99. If you want to go for five years, it's $786, and for a lifetime, it's $999.99.

Innocent: Hold on a minute. Let me go get a pen and write this all down. Hold on. Three years for $369.99, so it's normally—hold on—it's normally $ And then how much is three years? $369?

Suspect: Yes, $369.",support,outgoing,Grandma Tells A Scammer A New Way She Has Been Making Money (youtube.com),Scammer Jammer,1
"Innocent: Hello?

Suspect: Yes, hello.

Innocent: Hello?

Suspect: Yes, how are you doing, ma'am? This is Peter Anderson from the PCH.

Innocent: I got a message that I won.

Suspect: All right. Who am I speaking with here today?

Innocent: It's Joyce Freedom.

Suspect: Yes, Joyce, Josie Freedom Rich?

Innocent: All right.

Suspect: Do you have a confirmation number, ma'am?

Innocent: Well, the voicemail was very broken. You know, I'm 82 years old and I couldn't hear it.

Suspect: Oh, I just have one question to ask. Innocent: It's better because it's not, um, what's the word, audible.

Suspect: All right, don't worry about that, ma'am. I already have your full name. I'm gonna just pull it up with that, all right?

Innocent: Yes, thank you.

Suspect: Give me a second. All right, are you still there?

Innocent: Yes.

Suspect: Hi, what I have seen here, ma'am, is that you have won a certified check of four and a half million dollars along with $5,000 per week for life and also an S-Class Mercedes-Benz. Congratulations, ma'am. Welcome to financial freedom. Welcome aboard.

Innocent: Will you be calling me, sir? I haven't been a sir since 1972. I'm a woman.

Suspect: Oh, pardon?

Innocent: I'm a woman. You keep calling me sir.

Suspect: Sorry, yes, ma'am. Sorry about that.

Innocent: That's right. I'm a lady.

Suspect: I'm so sorry, ma'am. I'm so sorry about that, ma'am.

Innocent: I'm not your ma'am. You will address me as Queen Dorothy from now on. That is what my clients call me. I'm a very important person and they hire me to call, for them to call me Queen. So you will address me as Queen or Queen Dorothy from now on. Well, what happens now?

Suspect: As I was saying, ma'am, are you willing and interested in having this delivered today?

Innocent: I wasn't expecting to receive company, but I guess I can throw my good mumu on.",reward,outgoing,Scammer Gets Angry And Gives Up After Dealing With Us - YouTube,Scammer Jammer,1
